Görüş,Durum
TV ÇOK IYI GÖRÜNÜYOR. EVIN IÇINDE SINEMA GIBI.,2
Süpürgenin emişi süper, halıda toz namına hiç bir şey bırakmıyor ancak aksesuarlar plastik değil naylon, aldığım gün bozuldu servise götürdüm, değiştirdiler ve yine bozuldu şuan ise aksesuarkar sadece bir kere değişime tabi olduğu için. değiştirmiyorlarmış.,0
0 yönleri: İnsanlık tarihinin en rezil kargo firması HOROZ KARGO. Sakın bu firmayla çalışmayın. Satıcıda bir o kadar ilgisiz ve alakasız. 1 ay sonunda elime ulaştı ürün. Kesinlikle tavsiye etmiyorum,0
idare eder kullanınca görecegiz,0
Hayır beğenmedim ama calısması eh işte:),0
çok güzel çok beğendim,1
ilk defa media markt tan ürün alacağım kaç gün içerisinde geleceğini ve ürünün nasıl olacağını ürün geldikten sonra yorumda bildireceğim.,2
bahali ve markalı almaya gerek yok gayetguzel urun,1
Orta dereceli bir ürün.fiyatına göre anca bu kadar.,2
Hayal kırıklığı evde çöpe atılma gününü bekliyor.Moda tasarımı mezunu kardeşim bile çözemedi 🤦🏻‍♀️ ip topluyor sebepsiz birde aldığım kumaşları berbat etti.,0
kesinlikle 30 tl daha verin orijinal samsung alın. temas eder etmez şarş başlıyor . Bu üründe ise deneme yanılmalarla sinir oluyor insan.,0
Kesinlikle almayın bu firmadan çakma ürün çin malı ucuz ürünlerden,0
çok iyi,1
ürüne diyecek birşey yok. ama kargo tam 1 haftada (7 günde) geldi. tebrik ediyorum kargo firmasını.,1
Beklediğimden çok daha güzel, kullanışlı. Arzum dan beklediğim kalitede bir ürün. Kesinlikle tavsiye ederim.,1
Çok güzel bir ürün ama tek kusuru haznenin çıkmaması o yüzden almayı düşünmüyorum!,2
Benim makinem samsung çok memnunum ama uzun zamandır yumuşatıcı yı koyuyorum ama deterjani alirken yumusaticiyida aliyor bu yuzdende yumusatici kokusu kalmiyor sebebi neden kaynaklaniyor acaba,1
gayet güzel sadece kare tepsi kenarlara sürterek giriyor tam ayarını tutturmak zorluyor :) 2 tepsiyi aynı anda pişirmesi de cok iyi, yorumlardan acaba cizik gelir mi diye korkmustum ancak hiç bir sorunu olmadan geldi.,1
Ürün çok güzel ☺️,1
Güzel bir ürün umarım uzun süre kullanılabilir,1
bu ürünü arkadaşımın tavsiyesi üzerine almıştım şimdi ürünü tekrar talep edip alıyorum ben memmunum daha öncede kullanmıştım hoşuma gidiyor beğeniyorum aldım,2
Çaycıyı kullandıkça çok büyük hata ettiğimizi anlıyorum suyu kaynatması sırasında gürültüden durulmuyor bazen kaynamadan düğmesi atıyor bazen sürekli kaynıyor biz kapatıyoruz ayar tutmuyor görünüşü malzemesi kaliteli hakkını yememek lazım,0
Güzel ürün güçlü çekişi var.,1
Diyet yapan ve sağlıklı beslenenler için çok uyumlu olacağına eminim değişik içecekler denemek için kullanışlı. Buz kırıyor bu konudan düşünenler için alınabilir sorun yaşanmaz.,1
Urunde sorun cikti. Samsung servis alacak. Faturaya ihtiyacim var. Faturami gonderin lutfen,0
Çok güzel memnunum,1
Evet beğendim inşallah ilerde sıkıntı olmaz,2
gelir mi gelmez mi diye düşünmeyin aklınıza bişey mi takıldı sorun cevaplıyorlar güvenebilirsiniz sıkıntı yok maşallah kolay gelsin hayırlı işler,1
Ürün harika gerçekten anlatıldığı gibi.,1
Acil telefon ihtiyacı ve kısıtlı bütçe yüzünden aldım. 16 GB telefon ilk başta sorun gibi görünmese de zamanla dolacak ve sorun olacak. Hafıza kartı ile de belli bir yere kadar çözebilirsiniz bu durumu. Şarjı iyi geldi ama telefonu sadece 4 gün kullandım onu da göz önünde bulundurun.,2
Gayet başarılı. Kullanıp test ettim. Beklentimin üstüne ürün.,1
Fiyatına göre iyi kalite,2
Philips in en kullanışlı çaycısı diyebilirim. Fiyat performans acısından başarılı. Ayrıca üstteki cam demlik kırılsa yenisini bulmakta oldukça kolay. Bu modelin yedek parcasi oldukça yaygın.,1
efsane günler indirimiyle annem için aldım bir farklı modeli ise evimde kullanıyorum benimkine göre daha sessiz çalışıyor ürün özenle paketlenmiş ve hızlıca elimize ulaştı başarılı satici teşekkürler.,1
Merhaba, ben 10.000 ve üstü mAh powerbank lara bakıyordum. Kafamdaki soru işaretlerine rağmen bu ürünü, yorumlara ve fiyatına bakarak aldım. Ama haklı çıktım. Bir kere cihaz çok uzun sürede şarj oluyor.Samsung S5 kullanıyorum. Telefonu 2 kere tam dolduramıyor. Ayrıca telefonu tam dolu hale getirmesi yaklaşık 3 saat sürüyor. Kısaca ürün bence vasat.Daha güçlü diğer markalara bakmak daha mantıklı olur. Saygılar.,2
Microsoft mouse neticesinde iyi yani.,2
2 adet aldım. Her ikisinde de Bağlantı kopma problemi var. Uyduruk mal. Bilinen markalardan şaşmayın. Boş yere para vermeyin buna,0
Telefonu aldık.Şarj esnasında telefonun arka üst tarafı elinizi yakacak derecede ısınıyordu.Kutu açılmış olmasına rağmen iade edebilirsiniz denildi.Çok hızlı bir iade işlemi gerçekleştirdiler.Cumartesi telefon ellerine geçti.Pazartesi para bankada göründü.amazzonu kesinlikle tavsiye ederim.Şimdi yine amazzondan xaiomi bir telefon sipariş ettim umarım bu sorunsuz olur,2
Çok.memlunum.,1
Hayır, paketi çok özensiz ve ürün hasarlı idi,0
1 yönleri: Çok pahalı ürüne gerek Yok, olabilieceğii çekiş gücünün iyi olması, bununda halıyı yerden kaldırıyo o kadar iyi...fitirmaya çöl teşekkür ederim, 24 saat geçmeden ürünü aldım..,1
Ürün kaliteli ancak doğru video bulamadığımdan verim alamadım,2
Kullanışlı ve Güzel Bir Ürün,Tavsiye Ederim.,1
Şık ve alımlı görünüşü olan, internet servis sağlayıcı ile bağlantı sorunu yaşatmayan fakat kablosuz kapsama alanı biraz dar olan bir modem cihazıdır. Eski modemimden daha dar bir kapsama alanına sahip olup araya bir kaç duvar girdiğinde çekim gücü ve iletişim kalitesi hatırı sayılır ölçüde düşmektedir. Bu durum kendisi için sorun teşkil edenlere, bunun bir üst modeli olan WAG160N ve yukarısı modelleri almalarını tavsiye ederim. Ayrıca yeni firmware yazılımını sitesinden indirip güncelleme yapmanızı da şiddetle öneririm. ( Bunun için ANNEX A olanını indirip yükleyeceksiniz. ANNEX B Türkiyeye uymaz.),2
güzel ama hatla arama yapamiyoruz,2
Bildiğim bir ürün, umarım sorunsuz kullanmaya devam ederim.,1
ürünü 1 haftadır kullanıyorum.henüz sivilcelerim geçmedi ama erken tabi.ürün köpürmüyor.ilk defa köpürmeyen jel kullanıyorum.yadırgadım.gerçi iyi bir özellik de olabilir.yumuşak yapıyor cildimi ve matlaştırıyor.bunlar da artıları.,2
hepa filitresini bulursanız kullanırsınız Firma yedekparça sağlayamıyor.Bende alırken iyi düşünün,0
idare eder ://///,0
ürün çok geç geldi, paket koruması yeterli değildi, açma kapama butonu yerinden çıkmıştı ben taktım,0
Çok hızlı teslimat, küçük ama performanslı makina,1
beklediğim gibi değil. ses yeterli değil,2
daha uzun uzun kullanamadığım için şarj süresini bilmiyorum fakat sesinden oldukça memnun kaldığımı söyleyebilirim.,2
Buhar verme konusunda biraz yetersiz. Ama fiyatına göre iyi Bi ürün 😊,2
Bu fırında poğoca ve kekyaptım ici güzel pısmıyor altını üstünü yakıyor nasıl kullanmalıyım,2
Malzeme kalitesi yorumlarda kötü olarak bahsedilmişti inanmayıp söyledik ama gerçekten kötüymüş :) ama küçücük boyuyla büyük temizlikler yapan bir makine memnunum,1
Reçete adlı kullanıcıdan aldım. Sipariş verdiğimin üzerinden 24 saat geçmeden elimdeydi. Teşekkürler. Yorumlar çok iyi olunca denemek istedim, ciddi yağlı bir cildim var. Bende çok etkili de olmadı. soymayı bırakın, kurutmadı bile. Ama piyasada denediğim bir çok toniğe göre yine daha iyi. En azından bir süre temiz kalmasını sağlıyor.,2
paket açılmıştı özenli degildi,0
Makina fiyat ve özellik bakımından gayet iyi,ama yanında çanta sd kart gönderseydiniz gayet iyi olacaktı.,2
Ürün çok kaliteli tavsiye ederim,1
Güzel göründüğü gibi geldi,1
Montaj için gelindiğinde değerlendireceğim,1
Fiyatının ürünü hakkını veriyor,1
tefal şahane hızlı gönderi sorunsuz,1
Ürünü yorumlara bakarak aldım fakat yorumlarla oluşan beklentimin altında bir ürün geldi. Bence biraz sesli ve çekiş gücü çok başarılı değil. Yaklaşık 4 metrekare tuvalet için 100 lük modelini aldım .Tavsiyem daha büyük modelleri tercih edin.,0
aşırı yavaş. 1 cihabaytı 1 dakikada kopyalamayadım,0
3293 çaycı güzel ama kapağı kapatınca çıkarmak İçin resmen bıçak kullanıyorum.. geçen gün yakacaktım kendimi ..,0
siparişim 2 gün içinde ulaştı, öncelikle teşekkürler. ufak bir tavsiye mini fırına göre biraz büyük, ancak bu oldukça işimize geldi. yeni kullanmaya başlamış olmamız rağmen bizi memnun etti.,1
çekim gücü iyi temizliğide kolay fakat boru kısmı daha iyi bekliyordum çok kaliteli değil hemen bükülüyor ve birleşim borusu süpürürken sürekli çıkıyor birde toz haznesinin konulduğu yerden fena hava çıkışı var onu daha farklı yapabilirlerdi onun dışında dediğim gibi çekim gücü iyi.,2
Bazaar adlı kullanıcıdan satın aldım. Dediği sürede kargoya verdi, ertesi gün teslim edildi. Teslim sonrasındaki gün de montajı yapıldı. Teknik servisi arçelik ve beko ya bakan servis. 3 yıl garantisi var. Makinenin içinden 2 tablet ve 1 de partlatıcı çıkıyor. Çalışırken sesi normalin üzerinde ama çok büyük sorun teşkil etmiyor. 3 programlısı ile bunun arasında kalmıştım bunu aldım. Tablet deterjan kullanacaksanız tuz kullanmanıza gerek kalmıyor.,1
Hiç hızlı kargo falan değil, yaklaşık 10 gün oldu sipariş vereli halen ürün gelmedi!!!!!,2
kısa süreli kullanımlar için araba vs. evde ince tozların alınması için uygun. ürün malzeme kalitesi çok sağlam. ancak 15 saat şarj süresi 15 dakika kullanım için çok fazla. bu ürün diğer birçok ürüne göre daha iyi. çok güçlü bir çekme beklemeyin.,2
çoçuklar için aldım.İşe yarıyor.,1
Kutusuz yani Bulk olduğunu belirtmemelerine rağmen kutusuz geldi, ne bir kartın ne köpük. Sadece havalı poşete sarıp göndermişler. Tam anlamı ile hayalkırıklığı.,0
1 yönleri: Daha önce 1000 watt olanı kullandım. Çok güçlü ve çok sesliydi, zaman içinde her yeri kırılınca yenilemek gerekti ve yerine daha düşük güçlü olmasına rağmen bunu aldım. Watt değeri düşük olmasına rağmen emiş gücü çok iyi, üstelik sesi de belirgin olarak daha az.Seramik, laminat, mermer gibi düz yüzeyleri çok iyi süpürüyor, 0 yönleri: Süpürme başlığının altına monte edilmiş olan ve sürüklemeyi kolaylaştıran minik tekerlekler çok küçük olduğundan yere çok yapışıyor. Bu sebeple halıda çok zorlanıyorum, özellikle kilim ve paspasları kesinlikle bununla süpüremiyorum. Bence şirketin arge bölümü çok ciddi bir hata yapmış, düzgün olan başlığı üretip, bu süpürgeyi alan tüm müşterilerine ücretsiz ulaştırmaları gerekir. Halı ve kilim süpüremeyen süpürge ne kadar işe yarayabilir?,1
Ürün Tam istediğim gibi değil kapağı metal olmalıydı,2
Paketleme berbat,2
Çok kaliteli bir ürün beklemeyin. Görüntüsü güzel, yemek buharlarını çekiyor. İs görecek bir ürün...,2
1 yönleri: Gerçekten bir elektrik süpürgesinden beklediğiniz herşeyi karşılayan bir ürün,emiş gücü ve kullanım kolaylığı size keyifli temizlik sunuyor,pahalı diğer markalarla eşdeğer bir ürün teşekkürler,ayrıca ürün zamanında elimizde oldu ,güvenli alışverişin adresi😀,1
Kullanışlı ve sağlam,1
ben kullandım fiyat performans ürünü bence bu fiyata alınabilecek olanın iyisi.,2
evet beğendim anlatıldığı gibi,1
Lens'leri iyi değil ve burnu rahatsız ediyor.,0
Bu kadar ince uzun bir kutuda geçme taban kullanılmaması gerek. Taban ilk esnediğinde içindeki düşer, bu da düştü.,0
Ürün orjinal değil.seri numarası daha önce 67 bin kez sorgulama yapışmış.ilgili satıcı .her zamanki gibi berbat aras kargo.teşekkürler,0
fazla özelliği yok,0
Kaliteli iyi,1
Ürünü çok uygun bir fiyata aldım. Çok hızlı teslim edildi. Hem tost hem de ızgara için uygun, güzel bir ürün.,1
Tasarımını yapan ekibin içindeydim ürün fiyata Göre iyi,1
piyasada 850 lira civarına satılan modemi burada 950 lira civarına satıyor.hatta 1 hafta önce başka yerde 750 liraya bile satılıyordu. çok pahalı.,0
dedem göremiyor sesli kitap dinlemesi için almıştım sesli kitapları yükledim ama ürün çalışmıyor sesi açılıp kısılamıyor inanılmaz sinirimi bozdu,0
Anneme hediye aldım. Maalesef şenliği damlatıyordu. Çok uğraştık sonunda bir şekilde değiştirebildik.,2
performansı gayet başarılı. fiyatını fazlasıyla hak ediyor.,1
Kullanımı gayet güzel fakat çizilmelere karşı dayanıklı değil galiba. Havaalanı geçişinde kolumdan çıkarıp mont cebine koydum. Bir kaç bozuk para da vardı.metal kadran boyasında çizilme oldu. İlk koymada böyle olurs birkaç kezden sonra ne olur bilmem.,0
ürun portakal ve mandalina sıkarken posası sulu kalıyor .fiyatına göre fena değil .motor sesi normal ve çok güçlu,2
Urun cok iyi, 5 yildiz veriyorum, ama Surat kargo ile kargo suresi coook uzun.,0
çok çok hızlı kargo uygun fiyat kaliteli ürün teşekkürler,1
Çekim kuvveti inanılmaz güzel 💓,1
Hızlı ve çok özenli kargo çok teşekkür ederim. Ürünün sadece çalışıp çalışmadığını kontrol ettim ses cok yok bu hosuma gitti,1
için de çay filtresi olsa ıyi di çıkmadı,1
Sessiz ve çok kullanışlı başka bir markanın almıştım o çok ses çıkarıyordu bu güzel ve dayanıklı.,1
1 yönleri: Kaliteli ve kullanışlı ürün olduğu için aldım.,1
ürün güzel görünümlü Ama teknoloji görüntüyle olmuyor işte dedirten Bir cihaz. kabına koyunca ses yok, çıkarsan rüzgar sesi(bisiklet için söylüyorum) ben bunu su altında kullanırım derseniz, azcık güneş ışığı kaybolsun zifir karanlık oluyor ve görüntü hızı düşünüyor. pratik mi pratik, aparatları on numara ama kamera boş.,0
eğer yüksek ısılı bir fön makinesiyle kullanacaksanız,telleri dayanıklı değil tavsiye etmem. ama normal tarama için ise rahatlıkla sipariş verebilirsiniz iyi bir tarak.,0
Ürün başarılı, plastik kısmı dikkatli kullanılması gerekli. ancak kargoya bir gün geç verildi.,2
Bir çok markaya baktım fakat en iyi yorumlar hep TefalOnTheGo için gelmiş, bende çok geçmeden sipariş ettim. Çok kullanışlı, aynı zamanda çok hızlı geldi. Teşekkürler.,1
Daha öncede Philips ütü kullaniyodum yine Philips tercih ettim beklentimi gayet güzel karsiladi, turbo ayariyla mükemmel sonuç elde edebilirsiniz. Ütü ye ayirdigim zaman yarıya indi almayi düşünenler iç n şiddetle tavsiye edilir,1
1750 watt yazıyor ancak gönderilen 1550 watt lik sac. Satıcısına ulaşılıp sebebini soruncada wattlar düşürüldü cevabını aldım. O zaman keşke buraya da 1550 watt şeklinde yazılsa da alıcı yanıltılmasa.,2
ürün zamanından önce kargolandı ve horoz lojistik tarafından kata kadar cıkarıldı.servis ertesi gün gelip baglantısını yaptı ve 90 tl degerinde kıreclenmeyi önleyecek musluk altına aparat taktırdım. makinayı çalıştırdım program sayısı cok oldugu için sıkıntı olmuyor istediğiniz programda ve istediğiniz devirde sıkma operasyonunu ayarlayabiliyorsunuz. 9 kg üzeri yuk atıldıgında makina uyarı veriyor asansör gibi aşırı yük gibi. bu özelliğide cok harika en kısa yıkama zamanı 20 dakıkadır. piyasadaki makınalara göre ucuz ve kullanışlı makinaya benziyor ama mal italyan malı oldugundan parça fiyatları nasıldır onu bilemiyorum tek terettütüm bu oldu, ilerleyen zamanlarda göreceğiz. ses seviyesindende bahsedersek gayet düşük sesle çalışıyor, sadece su sesi geliyor. büyük markalara para harcamanızı istemem bu makina ihtiyaçlarınızın üstünde karşılayacağına eminim. teşekkürler.,1
Harika mikammaaaallllll anlatmaya gerek yok &#128512;goruyorsunuz hersey ortada,1
Şahane ötesi bir ürün. Paketlemesi gayet güzel ve kurulumu 1 dakikamı bile almadı. Çok teşekkürler evidea emeği geçen herkese teşekkür ederim,1
Berbat bır urun kesınlıkle almayın paranızla rezıl olursunuz boyle bır makıne gormedım 2 ay oldu alalı bıktırdı benı sakın profılo uzak durun,0
Alalı 1 yıl oldu hiç bi sorun yok,1
Birçok yemeği artık burada yapıyorum. Lezzetli ve pratik olmasının yanında bir de az yağ ile daha sağlıklı yemekler pişiriyorum.Severek kullanıyorum tavsiye ederim.,1
pazar aksami siparis verdim carsamba geldi bas kalitesi sesi cok iyi tam bi fiyat performans urunu tavsiye ederim,2
Apple kaliteyi hissettiriyor başarılı. güvenli alışveriş.,1
Hizli kargo hizli servis kullanimini iki kez test ettim sonuc gayet guzel ses icin soyle diyebilirim rahatsiz etmeyen ortalama bir ses alicisina hayirli olsum,1
Ürün yamuk çıktı, delikler küçük vida girmiyo, pişman oldum aldığıma,0
Ürün kullanış bakımında uygundur. Kalitesine göre fiyatında iyidir. sadece biraz sesi fazla çıkıyor,1
ürün güzel fiyatıda uygun ancak hiç bir şekilde faturama ulaşamıyorum.Kaç kere talep oluşturdum ama faturamı göndermiyolar,2
Urun fiyatina gore cok iyi hizli kargo cok iyi. Ama iki tane istemistim bir tanesi kirilmis bir ise yaramadi. Ben bütün ihtiyaç larimi bu siteden aliyorum. Hepsiburada ya guvenim sonsuz anlastigi korgolar urunleri onemsemiyor. Kirilan urun saglam gelmedikten sonra digerlerine zaten birsey olmaz. Önemli olan hassas ürünlerin saglam gelmesi. Bu duruma el atarlar diye düşünüyorum.,0
Ürün beklediğimden küçük ve cok da fazla ses vermemkte.Açıkcası ben tavsiye etmiyorum.Kargo konusunda gayet iyidi.,0
Zamanından önce teslim süper,1
Tam fotoğraftaki gibi geldi ürünüm. Yalnız bir göz’ü yanmıyor bendekinin. Başka sorunu yok,2
Sesinin biraz fazla olmasına rağmen çekiş gücü son derece başarılı. Mağazanın paketlemesi ve gönderim hızı da son derece iyiydi.,1
ürün gerçekten çok iyi paketleme çok güzeldi satıcıya buyuzden teşekkür ediyorum,1
kitapciginda yazilanlara uygun kullandim.patetesler oldugu gibi çıktı.kaç saat beklemek lazım.1-2 saat çalışmalımıydı ...!,0
orta standartlarda bi urun uc gundur kullaniyorum haliya cok yapisiyor cekemiyosun emis gucu cok degilmis gibi geliyor ama halidan ayiramiyosun iade etmeyi dusundum sonrada diger supurgelere gore sessiz calisiyor diye vaz gectim haliya gore baslik degistirerek supuruyorum o zamn cok yapismiyor.,2
Avantajlar : Ürün fiyatı. , Sağlamlık.<br />Dezavantajlar : Android işletim sistemi çok eski.<br />Ürün fiyatı gayet iyi. Sağlam bir ürün. Lâkin android sistemi eski.,2
bu urun aynı özellıklere telefonlara bakıldığında fiyatı cok uygun ama sadece hepsı buradada bıraz pahalı fakat paarasını hak eden bır urunn,1
Muhteşem bir ütü iyiki tercihimi bu ütüden yana yapmışım. Beni hiç üzmedi umarım üzmezde :),1
Ses seviyesi düşük malzeme kalitesi kötü,2
N11 teşekkürler ilgi alaka,2
ürün arzılandığı takdırde parça bulnuumyo bunu düşünerek alın,0
Yapışkan bir dokusu var, basit bir göz kaleminden ibaret makyajı dahi çıkartmadı. Başka sitelerde 1 yorumlara bakarak almıştım, fakat her organik ürün başarılı değil ne yazık ki.,0
İçi tamamen Çelik olmadığı için plastik tadı kokusu alıyormusunuz kullananlar?,0
Dolap umdugumdan daha kucuk ve normal buyuk haznesinde buzlanma oluyor.,0
Pişirme performansı gayet iyi. Ancak ayak tasarımı hiç iyi yapılmamış. 1 saat uğraştık. Ayakların ızgara gövdesine girişinde problem var. Izgarayı baş aşağı çevirip, ayaklar belli bir açıyla, çok hafif döndürerek ve güç uygulayarak yerine geçirilmeli. En sabit halinde bile güven vermiyor ve hafif dokunmalarda bile ızgara sallanıyor. Her an ayaklardan birinin yerinden çıkıp ızgaranın yıkılma riski bulunuyor..Ayaklı isteyenlere bu modeli tavsiye etmiyorum.,2
Ürünü Ufonun müşteri hizmetlerine sordum malesef orjinal değil. ufo ürünlerimizde biz o marka kablo kullanmıyoruz dedi.,0
Evet ürün gayet başarılı,1
Ürün fena değil. Eğer evin içinde kullanmayı planlıyorsanız ses kalitesi fiyatına göre güzel. Dışarıda kullanacaksanız biraz sıkıntıları var. Kulaklığın sesi hem az gelmesinden ve dışarıdaki sesleri engellemediğinden bir süre sonra şikayetçi olmaya başlıyorsunuz. Ayrıca kablosu biraz uzun. Telefona takmak istediğiniz zaman biraz sıkıntılı olabiliyor. Yazmış olduğum gibi, sadece ev içinde kullanacaksanız güzel ama dışarıda kullanmayı planlıyorsanız başka kulaklık bakmanızı öneririm.,2
standart ucuz vantilatörlerden bile kötü. bilmem kaç watt mış mış.,0
iki günde kargo geldi. fiyatına göre idare eder.,1
Süper bir emiş gücü, kolay toz haznesi temizliği, düşük ses bizim için fazlasıyla yeterli. Hanım çok memnun kaldı,1
ilk iki gün sorunsuz kahve yaptı, sonrasında makine çalışmıyor, cezveyi algılamıyor, sürekli ya pişti gösteriyor yada hiç bir belirti olmadan kendini kapatıyor, kesinlikle almayın, verdiğiniz parayı çöpe atmayın,0
Buradaki yorumların puanı sizi yanıltmasın, beni yanılttı açıkçası. burada bahsedilenin çok altında bir performansı var. evdeki kedi tüylerini zar zor alabiliyor. orta boyutta bir koltuğu ancak 4-5 dakikada temizleyebiliyorsunuz ki zaten toplam şarj süresinin nerdeyse 3'te 1'i bu süre. tavsiye etmiyorum.,0
anneme hediye olarak aldım severek kullanıyor,1
İlk kez bir göz makyaj temizleyicisinin gözleri kör edecek derecede yaktığını görüyorum. Kullanım talimatında 'göz ile temas halinde bol su ile yıkayın' diyen bir göz makyaj temizleyicisi mi olur? Paramın boşa gittiğine üzülmüyorum, avonun bu ürünle insanları düşürdüğü duruma üzülüyorum.,0
Cildi gereğinden fazla kurutup temizliyor. Uzun süre kullanımda yüzüm soyulmaya başladı.,2
bu fiyata alabikecegimiz en uygun ürünlerden birisi.,2
ürünü daha iyi paketleyebilirlerdi... özensiz davranmışlar,2
sesi ortalama düzeyde çok iyi değil. şarjı da tam kullanımda 3 max 4 saat götürüyor. aç kapa yaptığınızda şarjı çok daha çabuk bitiyor.,2
1 de giç çalışmıyor denebilir 2 de az çalışıyor 3 de çalışıyor denebilir ürün beklediğim gibi değildi malesef serinletmiyor ayrıca hava yönlendirme kanalları elle yönlendirilmesi komik olmuş onlarda hareket ettirebilir bi mekanızmaya bağlanabilirdi bu fiyata göre alıncak ürün değil 100 liraya düz vantilatör alsam daha iyiydi.,2
ürün ergonomik ve kullanım açısından güzel bir ürün fakat sakal için ince ayar yapılamıyor.sadece saç için alacaksanız tavsiye ederim...ama sakalınıza şekil verecekseniz ince ayar yok..,2
bilgisayarı alın! biz aldık. elimize sağ salim ulaştı size bunu almanızı öneririm.elimizdeki paraya göre uygun bir bilgisayar.,2
ürün gayet başarılı altta bi dügmesi var baya opsyonel game modu flan var fakat arkdaşlar ekrana tam karşıdan baknız gerkıyor aşşadan yukardan sagdan soldan bakınca iyi degil size önerim 430h olan modelını almanız monitör önemli parça ben almadgma pişmanım 1ms kanıp almayın bence ürün iyi ama şahsi görüşüm,2
Buharli sogutucu ancak sadece buhar var. sogutmuyor yani anlayacaginiz. Nirmal bi vantilatorden pek bi farki yok,2
0 yönleri: Gold master marka fritözüm istediğim gibi çıkmadı. Aşırı derecede ısınmadığı için patateslerim çok yavaş pişiyor. Ayrıca çıtır çıtır olmasını istediğim patateslerim yumuşak oluyor. Bütün yağları denedim ama hep aynısı oluyor. Keşke paraya kıyıp Tefal marka alsaydım. En azından kaliteli patatesler pişirecektim. Ucuz diye bu markayı seçtim. Yine kızartma tenceresine kaldım.,0
Uzun süre kullanımlara dayanmıyor ömrü 1 aydan daha kısa bir kulaklık kabloları çok kötü 2 kere aldım 2 side 1 ayı geçmedi ömrü birinden ses gelmiyor kablolarla oynuyorsun arada geliyor ses kalitesi iyi fiyatına göre,0
Ps4 pro kapasitesini yükseltmek için aldım kargo çok kötüydü 3 güm boyunca şubeden gelmedi ürünü taktım üründen ses geliyor tıkırdı şeklinde kargo yapılırken ürün hiçbir şekilde koruyucu bişeye sarılmamış yani böyle hassas şeylere hepsiburada dikkat etmeli diye düşünüyorum,0
gayet kullanışlı fiyatına göre iyi performans,1
Kablosuz olsa 5 yıldız,1
İnanılmaz yüksek titreşimi var. Yoğun sakalı olan birisiyim sakalları kısaltmak için aldım iyi kesiyor takılma ve çekme yok motoru güçlü ama elinizi yoruyor ve büyük oldugundan pek pratik degil. Sanki köpek koyun traş etmek için yapılmış. Ne iyi ne kötü. Ama sakalınıza şekil vermek için başka bi ufak makine gerekiyor.,2
arkadaşalr hepiniz kargodan bahsetmissiniz kimse ürün özelliklerinden kullanışlımı cekmeceleri kırıgan mı sağlam malzemeden mi yapılmış bahsetmiyorsunuz...............,0
Paketleme kötüydü streç film ile baya bir sarılmış özen gösterilmeye çalışılmış diyebilirim ancak bu onu kargocuların saldırılarından koruyamamış kutusu çok az hasarlıydı üründe sıkıntı yoktu yinede paketlemeden bir yıldız kırdım ürün kutusu daha önce alt kısımdan defalarca açılmış muhtemelen dükkanda ürünü gelen müşteriye göstermek için açılmış kapatılmış daha önce kullanıldığına dair bir iz bulamadım zaten son kalan ürünüde ben aldığıma göre düşündüklerimi doğruluyor ancak yinede bu güven vermiyor bir yıldızda ordan kırdım geriye kalan yıldızlar ise hoparlörlerin performansına kalsın idare eder bir seviyede mucizeler yaratacak değil ama iş görüyor,2
Fiyat performans çok dengeli, üründen memnumun, renkli olması bu marka ve ürünü seçmeme sebepti gerçekten rengi de çok güzel üründe kullanışlı,1
harika bir kesinlikle tavsiye ederim,1
ürünün çekim gücü çok iyi. Kademeli çekm gücü olsa daha iyiy olur, biraz gürültülü çalişiyor ama o da olacak.,2
ÜRÜN GÜÇLÜ GÜZEL,1
Üründen hiç memnun kalmadım. Aşırı derecede kalitesiz. Bi de sürgüyü çekince açılmıyor. Sürgüyü itince kapanmıyor. İlla düğmesinden açıp kapatmanız gerekiyor. Bu kadar kötü olacağını tahmin etmemiştim,0
Memnun kaldık tavsiye ederim,1
Paketleme ve kargo müthiş. 1 günde elimize ulaştı.telefon şık güzel. henüz yeni kullanacağım,1
Harika fiyat hiç pişman olmadım,1
Ürünü alali 3 ay oldu ancak bir aydir sadece aksam yatarken kullanmaya başladık urun kndi kndine bir anda sondu calismadi çok uzgunum servisine gönderdik bakalim ne olacak bu kadar erken nasil bozulur anlam veremedim,0
Harika Bi ürün tşkler,1
arkadasin biri yazmış hakkımı helal etmiyorum diye sonuna kadar haklı bende hakkımı helal etmiyorum cok ozellikli bir tv aldim 6 ay sonra çöp oldu youtube bile giremiyorum internet film uzleyemezsinuz sadece html5 film izleye bilirsiniz o da yok bulamazsınız keşke kucuk ekran bir lg alsaydım 10 yıldır masallah tik yok . Vestel 4 yıllık 6 ayda eski tüplü tv lerden farmi kalmadı almadan ince 100 kere düşünün. Pişman olmayın.,0
Urun hizli ve sorunsuz geldi, tesekkurler,1
iyiki almışım en çok turuncu başlığı kullanıyorum.tezgah üstünde yer kaplamiyor,1
Ürün görsellerdekinden farklı renklerde ve ayakları düz değil yuvarlak demirden. Açıklamada yazdığı gibi priz yok. Ütünün devrilmesini önleyen özel tel aparat yok. Rahat kullanımlı plastik ütülük yok. Plastik çamaşır koyma aparatı yok.,2
Göründüğü gibi daha önce de kullandığım bir ürün alın aldırın çok iş görüyor ve fiyatı çok çok uygun.,1
Biraz ses çıkartıyor ancak çay severler için bence keyifli. Kendime almıştım kardeşime de aldım. Çok hızlı gönderi oldu. Teşekkürler,1
ergonomik ve sessiz, uygun fiyatli,2
